Experiment 1
Zipfian range query throughput (Mops),keys numebr = 50,100,150,200,250,300
LI+Δ,1.96E+06,1.21E+06,870708,690700,568733,482035
XIndex,3.89E+06,2.45E+06,1.78E+06,1.39E+06,1.17E+06,998620
FINEdx,3.49E+06,2.17E+06,1.57E+06,1.25E+06,1.02E+06,855135
ROIndex,4.84E+06,3.16E+06,2.35E+06,1.87E+06,1.57E+06,1.35E+06
Uniform range query throughput (Mops),keys numebr = 50,100,150,200,250,300
LI+Δ,1.86E+06,1.13E+06,822408,648795,540422,456245
XIndex,3.04E+06,1.96E+06,1.50E+06,1.23E+06,1.05E+06,898907
FINEdx,3.28E+06,1.98E+06,1.49E+06,1.17E+06,986058,830349
ROIndex,4.23E+06,2.85E+06,2.18E+06,1.76E+06,1.49E+06,1.27E+06
Zipfian range query throughput (Mops),dataset = Amazon,Facebook,Normal,Lognormal,,
LI+Δ,677512,676006,667572,678684,,
XIndex,1.42E+06,1.38E+06,1.41E+06,1.42E+06,,
FINEdx,1.24E+06,1.22E+06,1.24E+06,1.23E+06,,
ROIndex,1.87E+06,1.91E+06,1.87E+06,1.89E+06,,
Uniform range query throughput (Mops),dataset = Amazon,Facebook,Normal,Lognormal,,
LI+Δ,6.43E+05,6.41E+05,6.40E+05,6.40E+05,,
XIndex,1.23E+06,1.23E+06,1.25E+06,1.24E+06,,
FINEdx,1.18E+06,1.17E+06,1.16E+06,1.18E+06,,
ROIndex,1.80E+06,1.76E+06,1.76E+06,1.79E+06,,

Experiment 2
Skewed workload throughput (Mops),Hotspot = 1%,1.50%,2%,2.50%,3.00%,4%,4.00%,4.50%,5%,
LI+Δ,7.06E+06,6.97E+06,6.44E+06,6.61E+06,6.89E+06,6.56E+06,6.33E+06,6.24E+06,6.61E+06,
XIndex,6.04E+06,5.75E+06,5.34E+06,5.49E+06,5.23E+06,5.27E+06,4.77E+06,5.02E+06,5.02E+06,
